C:\Users\Acer>jmap -histo 9728
No dump file specified
Позволяет увидеть какие объекты созданы и в каком количестве
 номер		кол-во			вес		имя класса
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
 277:            13            312  java.util.concurrent.atomic.AtomicLong (java.base@15)
 278:             1            288  [Lorg.postgresql.PGProperty;
 279:            12            288  com.sun.jmx.remote.util.ClassLogger (java.management@15)
 280:             6            288  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@15)
 281:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@15)
 282:             9            288  java.util.Hashtable$Entry (java.base@15)
 283:             6            288  java.util.concurrent.ThreadPoolExecutor$Worker (java.base@15)
 284:             3            288  java.util.jar.JarFile$JarFileEntry (java.base@15)
 285:             9            288  java.util.logging.Level (java.logging@15)
 286:             9            288  java.util.logging.Level$KnownLevel (java.logging@15)
 287:             9            288  javax.management.MBeanNotificationInfo (java.management@15)
 288:            12            288  jdk.internal.reflect.ByteVectorImpl (java.base@15)
 289:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@15)
 290:             7            280  jdk.internal.ref.Cleaner (java.base@15)
 291:             7            280  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@15)
 292:             7            280  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@15)
 293:             7            280  sun.util.resources.Bundles$BundleReference (java.base@15)
 294:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@15)
 295:            11            264  java.net.Inet4Address (java.base@15)
 296:            11            264  java.util.Collections$SetFromMap (java.base@15)
 297:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@15)
 298:             8            256  java.rmi.server.UID (java.rmi@15)
 299:            16            256  java.util.TreeMap$EntrySet (java.base@15)
 300:            16            256  java.util.concurrent.atomic.AtomicInteger (java.base@15)
 301:             4            256  jdk.internal.org.objectweb.asm.FieldWriter (java.base@15)
 302:             4            256  jdk.internal.org.objectweb.asm.SymbolTable (java.base@15)
 303:            10            240  java.nio.charset.CoderResult (java.base@15)
 304:            10            240  java.nio.file.StandardOpenOption (java.base@15)
 305:            10            240  java.util.ArrayDeque (java.base@15)
 306:             6            240  java.util.StringJoiner (java.base@15)
 307:             3            240  java.util.zip.ZipFile$Source (java.base@15)
 308:            10            240  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@15)
 309:             5            240  sun.nio.cs.UTF_8$Encoder (java.base@15)
 310:             5            232  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@15)
 311:             8            232  [Ljava.lang.reflect.Field; (java.base@15)
 312:             4            224  java.lang.invoke.InvokerBytecodeGenerator (java.base@15)
 313:             7            224  java.nio.DirectByteBuffer$Deallocator (java.base@15)
 314:             7            224  org.postgresql.core.Parser$SqlParseState
 315:             7            224  org.postgresql.core.SqlCommand
 316:             7            224  sun.util.resources.Bundles$CacheKey (java.base@15)
 317:             9            216  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ListenerWrapper (java.management@15)
 318:             9            216  java.lang.NamedPackage (java.base@15)
 319:             9            216  java.lang.ThreadLocal$ThreadLocalMap (java.base@15)
 320:             3            216  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask (java.base@15)
 321:             9            216  org.postgresql.shaded.com.ongres.scram.common.ScramAttributes
 322:             9            216  sun.rmi.runtime.Log$LoggerLog (java.rmi@15)
 323:             9            216  sun.security.util.LazyCodeSourcePermissionCollection (java.base@15)
 324:             9            216  sun.util.logging.PlatformLogger$Level (java.base@15)
 325:             1            208  org.postgresql.core.v3.QueryExecutorImpl
 326:             5            200  java.util.EnumMap (java.base@15)
 327:             5            200  java.util.stream.StreamOpFlag (java.base@15)
 328:             5            200  sun.rmi.transport.tcp.TCPTransport$ConnectionHandler (java.rmi@15)
 329:             4            192  [Ljava.lang.management.MemoryUsage; (java.management@15)
 330:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@15)
 331:             4            192  java.lang.ThreadGroup (java.base@15)
 332:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@15)
 333:             4            192  java.lang.invoke.LambdaFormBuffer (java.base@15)
 334:             6            192  java.lang.invoke.MethodHandles$Lookup (java.base@15)
 335:             8            192  java.math.RoundingMode (java.base@15)
 336:             8            192  java.net.NetPermission (java.base@15)
 337:             3            192  java.nio.DirectByteBufferR (java.base@15)
 338:            12            192  java.util.Collections$SingletonSet (java.base@15)
 339:             6            192  java.util.Collections$SynchronizedMap (java.base@15)
 340:             6            192  java.util.RegularEnumSet (java.base@15)
 341:             6            192  java.util.Spliterators$ArraySpliterator (java.base@15)
 342:             6            192  java.util.stream.Collectors$CollectorImpl (java.base@15)
 343:             6            192  java.util.stream.ReduceOps$3 (java.base@15)
 344:             6            192  java.util.stream.ReduceOps$3ReducingSink (java.base@15)
 345:             3            192  java.util.zip.Inflater (java.base@15)
 346:             4            192  org.postgresql.shaded.com.ongres.scram.common.ScramMechanisms
 347:             6            192  sun.management.NotificationEmitterSupport$ListenerInfo (java.management@15)
 348:             4            192  sun.nio.cs.StreamEncoder (java.base@15)
 349:             3            192  sun.nio.fs.WindowsFileAttributes (java.base@15)
 350:             8            184  [Ljdk.internal.org.objectweb.asm.Type; (java.base@15)
 351:            11            176  java.lang.ThreadLocal (java.base@15)
 352:            11            176  java.util.HashMap$Values (java.base@15)
 353:             1            168  [[Ljava.math.BigInteger; (java.base@15)
 354:             3            168  java.io.FileCleanable (java.base@15)
 355:             7            168  java.lang.System$Logger$Level (java.base@15)
 356:             7            168  java.net.Socket$SocketInputStream (java.base@15)
 357:             3            168  java.nio.HeapCharBuffer (java.base@15)
 358:             3            168  java.util.jar.JarFile (java.base@15)
 359:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@15)
 360:             7            168  org.postgresql.core.SqlCommandType
 361:             7            168  sun.management.counter.Units (java.management@15)
 362:             7            168  sun.nio.ch.Util$BufferCache (java.base@15)
 363:             3            168  sun.rmi.transport.Target (java.rmi@15)
 364:             4            160  [Ljava.lang.Thread; (java.base@15)
 365:             3            160  [Ljava.util.logging.Level; (java.logging@15)
 366:             2            160  [[Ljava.lang.Object; (java.base@15)
 367:             5            160  java.io.BufferedOutputStream (java.base@15)
 368:             5            160  java.io.DataInputStream (java.base@15)
 369:             4            160  java.io.DataOutputStream (java.base@15)
 370:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@15)
 371:            10            160  java.security.SecureClassLoader$CodeSourceKey (java.base@15)
 372:             4            160  java.util.HashMap$EntryIterator (java.base@15)
 373:             5            160  java.util.ImmutableCollections$MapN (java.base@15)
 374:             5            160  javax.management.StandardEmitterMBean (java.management@15)
 375:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@15)
 376:             5            160  sun.util.locale.provider.LocaleResources (java.base@15)
 377:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@15)
 378:             6            144  [Ljava.security.ProtectionDomain; (java.base@15)
 379:             6            144  java.io.ObjectStreamClass$ClassDataSlot (java.base@15)
 380:             6            144  java.io.ObjectStreamClass$EntryFuture (java.base@15)
 381:             6            144  java.lang.Thread$State (java.base@15)
 382:             6            144  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@15)
 383:             6            144  java.lang.invoke.VarForm (java.base@15)
 384:             6            144  java.net.Socket$SocketOutputStream (java.base@15)
 385:             9            144  java.rmi.server.Operation (java.rmi@15)
 386:             6            144  java.util.BitSet (java.base@15)
 387:             1            144  java.util.Scanner (java.base@15)
 388:             6            144  java.util.stream.Collectors$$Lambda$89/0x0000000800c17430 (java.base@15)
 389:             6            144  java.util.stream.ReferencePipeline$3$1 (java.base@15)
 390:             3            144  javax.management.openmbean.TabularType (java.management@15)
 391:             3            144  jdk.internal.loader.URLClassPath$JarLoader (java.base@15)
 392:             6            144  jdk.internal.perf.PerfCounter (java.base@15)
 393:             6            144  jdk.internal.reflect.Label$PatchInfo (java.base@15)
 394:             6            144  org.postgresql.jdbc.SslMode
 395:             9            144  ru.job4j.tracker.ConsoleOutput
 396:             1            136  [Ljava.time.temporal.ChronoField; (java.base@15)
